variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
SX 1.2 (O),Manual,84007,2nd Owner,Petrol,DL-3C,447000,2016,HYUNDAI,XCENT
LXI,Manual,31519,1st Owner,Petrol,DL-3C,395000,2014,Maruti,SWIFT
CRDE 4X4 AC,Manual,41410,1st Owner,Diesel,HR-26,718000,2018,Mahindra,Thar
1.4 S PLUS,Manual,58830,1st Owner,Diesel,DL-1C,859000,2017,HYUNDAI,CRETA
VXI,Manual,33410,2nd Owner,Petrol,DL-12,566000,2016,Maruti,CIAZ
ALPHA MT,Manual,24087,1st Owner,Petrol,UP-32,1006000,2020,Maruti,XL6
SV MT PETROL,Manual,28673,1st Owner,Petrol,DL-11,854000,2019,Honda,City
HIGH AT,Automatic,30448,1st Owner,Petrol,DL-8C,1064000,2021,Toyota,URBAN
ERA EXECUTIVE,Manual,39364,1st Owner,Petrol,DL-11,456200,2020,Hyundai,NEW
S MT,Manual,26233,1st Owner,Petrol,DL-13,296000,2013,Honda,Brio
RXZ AT,Automatic,8756,1st Owner,Petrol,UP-32,729000,2020,Renault,TRIBER
VDI,Manual,81027,1st Owner,Diesel,DL-1C,739000,2019,Maruti,VITARA
LXI CNG,Manual,91884,1st Owner,CNG,HR-26,318000,2016,Maruti,ALTO
VX (O) PETROL,Manual,70190,1st Owner,Petrol,HR-29,666000,2015,Honda,City
MAGNA 1.2,Manual,33752,1st Owner,Petrol,DL-8C,513000,2016,HYUNDAI,ELITE
1.2 EXMT I VTEC,Manual,77120,1st Owner,Petrol,DL-4C,348000,2014,Honda,Amaze
MAGNA 1.2 KAPPA VTVT,Manual,35022,1st Owner,Petrol,DL-8C,472000,2017,Hyundai,Grand
1.2L I-VTEC V AT,Automatic,28608,1st Owner,Petrol,DL-12,664000,2017,HONDA,JAZZ
1.6 VTVT SX (O) AT,Automatic,38660,1st Owner,Petrol,DL-1C,986000,2018,HYUNDAI,VERNA
VXI,Manual,50002,1st Owner,Petrol,DL-3C,323000,2018,Maruti,ALTO
VXI,Manual,53069,1st Owner,Petrol,UP-16,547000,2018,Maruti,Dzire
1.2L I-VTEC S,Manual,90618,1st Owner,CNG,DL-3C,628000,2019,HONDA,AMAZE
GL PLUS,Manual,49322,1st Owner,Petrol,DL-3C,202000,2011,Hyundai,Santro
SPORTZ 1.2,Manual,54124,1st Owner,Petrol,DL-12,585000,2017,Hyundai,Elite
LXI,Manual,18862,1st Owner,Petrol,UP-14,585000,2020,Maruti,Swift
EX 1.5 PETROL,Manual,45938,1st Owner,Petrol,HR-51,1109000,2020,Hyundai,Creta
SX AT 1.6 PETROL,Automatic,13948,1st Owner,Petrol,UP-14,1337000,2019,HYUNDAI,CRETA
1.5L I-VTEC V MT,Manual,38508,1st Owner,Petrol,DL-11,825000,2018,Honda,City
1.0 RXT Opt,Manual,41823,1st Owner,Petrol,DL-8C,358000,2018,Renault,Kwid
RXS CVT 106 PS,Automatic,74566,2nd Owner,Petrol,DL-3C,698000,2018,Renault,Duster
DELTA PETROL 1.2,Manual,28078,1st Owner,Petrol,UP-16,610000,2018,Maruti,Baleno
MAGNA 1.2 KAPPA VTVT,Manual,1,1st Owner,Petrol,DL-10,456000,2016,Hyundai,Grand
1.2 SPORTS PLUS VTVT,Manual,49538,1st Owner,Petrol,DL-11,695000,2019,Hyundai,Elite
VXI,Manual,57871,1st Owner,Petrol,DL-3C,533000,2018,Maruti,Swift
COMFORTLINE 1.0 TSI MT,Manual,13703,1st Owner,Petrol,DL-7C,803000,2021,VOLKSWAGEN,POLO
ALPHA PETROL 1.2,Manual,25628,1st Owner,Petrol,HR-10,573000,2016,Maruti,Baleno
MAGNA 1.2 KAPPA VTVT,Manual,57740,1st Owner,Petrol,DL-8C,389000,2015,Hyundai,Grand
VXI,Manual,4178,1st Owner,Petrol,DL-2C,901000,2022,Maruti,Vitara
SV MT PETROL,Manual,72662,1st Owner,Petrol,UP-14,584000,2015,Honda,City
MAGNA 1.2 KAPPA VTVT,Manual,17815,1st Owner,Petrol,DL-9C,484000,2017,Hyundai,Grand
V MT PETROL,Manual,31912,1st Owner,Petrol,DL-10,848000,2018,Honda,City
1.0 AMBITION TSI MT,Manual,45347,1st Owner,Petrol,HR-01,893000,2020,SKODA,RAPID
1.6 CRDI SX PLUS AUTO,Automatic,58009,2nd Owner,Diesel,UP-32,977000,2018,HYUNDAI,CRETA
Magna 1.2 AT  VTVT,Automatic,51693,1st Owner,Petrol,DL-8C,475000,2017,Hyundai,Grand
SPORTZ 1.2 KAPPA VTVT,Manual,24035,1st Owner,Petrol,DL-8C,454000,2016,Hyundai,Grand
LXI,Manual,33016,2nd Owner,Petrol,DL-7C,298000,2014,Maruti,Wagon
1.0 RXT Opt,Manual,15030,1st Owner,Petrol,DL-3C,361000,2018,Renault,Kwid
ASTA 1.2,Manual,20590,1st Owner,Petrol,DL-4C,712000,2018,Hyundai,Elite
VXI CNG,Manual,49841,1st Owner,CNG,DL-12,489000,2018,Maruti,CELERIO
1.2 MAGNA PLUS VTVT,Manual,22634,2nd Owner,Petrol,DL-1C,629000,2019,Hyundai,Elite
GTX 1.4 GDI AT PETROL,Automatic,13672,1st Owner,Petrol,UP-70,1441000,2019,KIA,SELTOS
1.2 SV MT,Manual,51897,1st Owner,Petrol,DL-14,461000,2016,Honda,Jazz
LXI CNG,Manual,65329,1st Owner,CNG,DL-9C,401000,2019,Maruti,Alto
ZXI 1.3,Manual,78054,2nd Owner,Petrol,DL-9C,241000,2010,Maruti,SWIFT
XZ 1.2,Manual,17620,1st Owner,Petrol,DL-9C,938000,2021,Tata,NEXON
1.2 W6 MT,Manual,31346,1st Owner,Petrol,DL-3C,1011000,2021,MAHINDRA,XUV
S MT PETROL,Manual,61408,2nd Owner,Petrol,DL-4C,449000,2013,Honda,City
ALPHA PETROL 1.2,Manual,20599,2nd Owner,Petrol,HR-26,623000,2018,Maruti,Baleno
MAGNA PLUS 1.2,Manual,33238,1st Owner,Petrol,HR-26,610000,2019,Hyundai,Elite
