variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
DELTA PETROL 1.2,Manual,86292,1st Owner,Petrol,HR-51,536000,2016,Maruti,Baleno
VXI,Manual,36358,1st Owner,Petrol,DL-2C,347000,2013,Maruti,SWIFT
XT 1.5 RTQ,Manual,16973,1st Owner,Diesel,DL-10,811000,2021,Tata,ALTROZ
RXL,Manual,25519,2nd Owner,Petrol,HR-07,350000,2019,Renault,Kwid
RXL,Manual,26260,1st Owner,Petrol,DL-3C,407000,2020,Renault,Kwid
1.2 S MT,Manual,32287,1st Owner,Petrol,HR-51,488000,2017,Honda,Jazz
VXI,Manual,30444,1st Owner,Petrol,HR-76,698000,2019,Maruti,Dzire
LXI,Manual,8736,1st Owner,Petrol,DL-8C,340000,2018,Maruti,Alto
LXI,Manual,63772,1st Owner,Petrol,UP-37,567000,2019,Maruti,SWIFT
DELTA 1.4 MT PETROL,Manual,63864,2nd Owner,Petrol,HR-05,651000,2017,Maruti,Ciaz
ZETA 1.2,Manual,46300,1st Owner,Petrol,HR-51,641000,2020,Maruti,IGNIS
1.0 RXT Opt,Manual,17931,1st Owner,Petrol,UP-16,468000,2021,Renault,Kwid
SPORTZ 1.2 KAPPA VTVT CNG,Manual,96192,1st Owner,CNG,HR-12,668000,2021,Hyundai,GRAND
Varicor 400 XM,Manual,43895,1st Owner,Diesel,HR-26,1334000,2019,TATA,HEXA
RXZ CVT 1.0 TURBO,Automatic,9698,1st Owner,Petrol,DL-3C,1128000,2021,Renault,Kiger
LXI,Manual,13121,1st Owner,Petrol,DL-2C,572000,2019,Maruti,Swift
ZETA AT 1.5  SHVS PETROL,Automatic,31350,2nd Owner,Petrol,DL-12,869000,2018,Maruti,CIAZ
SPORTZ EXECUTIVE MT CNG,Manual,39295,1st Owner,CNG,DL-9C,637000,2021,HYUNDAI,NEW
LX HT PETROL 4WD MT,Manual,4870,1st Owner,Petrol,HR-26,1475000,2021,MAHINDRA,THAR
1.5 TITANIUM TI VCT,Manual,21803,1st Owner,Petrol,UP-16,703000,2017,FORD,ECOSPORT
VXI,Manual,22705,1st Owner,Petrol,DL-3C,417000,2014,Maruti,Swift
DELTA 1.2 AMT,Automatic,24588,2nd Owner,Petrol,HR-26,580000,2018,Maruti,IGNIS
DELTA PETROL 1.2,Manual,47728,1st Owner,Petrol,HR-26,617000,2019,Maruti,Baleno
1.2L I-VTEC S,Manual,52212,1st Owner,Petrol,DL-1C,623000,2018,Honda,Amaze
VX CVT PETROL,Automatic,29589,2nd Owner,Petrol,DL-4C,1226000,2020,HONDA,CITY
1.0 Lxi (o) cng,Manual,31413,1st Owner,CNG,DL-5C,605000,2021,Maruti,New
LXI CNG 1.0 L,Manual,58736,1st Owner,CNG,DL-2C,526000,2019,Maruti,New
ZXI 1.2 BS IV,Manual,46500,2nd Owner,Petrol,HR-26,431000,2014,Maruti,Swift
LXI CNG 1.0 L,Manual,45156,1st Owner,CNG,DL-9C,565000,2020,Maruti,New
LXI CNG 1.0 L,Manual,95737,1st Owner,CNG,DL-2C,545000,2019,Maruti,New
RXZ 1.0 TURBO MT,Manual,9759,1st Owner,Petrol,DL-3C,1041000,2021,Renault,Kiger
SPORTZ CNG,Manual,59157,1st Owner,CNG,HR-26,556000,2019,HYUNDAI,NEW
LXI CNG 1.0 L,Manual,36330,1st Owner,CNG,DL-2C,569000,2020,Maruti,New
MID GRADE MT,Manual,39032,1st Owner,Petrol,HR-26,888000,2021,TOYOTA,URBAN
MAGNA 1.1,Manual,71103,2nd Owner,Petrol,DL-9C,321000,2015,HYUNDAI,I10
2WD MT PETROL,Manual,86933,2nd Owner,Petrol,UP-14,1412000,2018,Hyundai,Tucson
1.2 V AT,Automatic,60707,1st Owner,Petrol,HR-26,631000,2017,Honda,Jazz
LXI,Manual,26057,1st Owner,Petrol,HR-26,299000,2016,Maruti,Alto
1.0 RXT Opt AT,Automatic,10601,1st Owner,Petrol,DL-3C,499000,2021,Renault,Kwid
SPORTZ 1.2 KAPPA VTVT CNG,Manual,22393,1st Owner,CNG,DL-12,773000,2021,Hyundai,GRAND
MAGNA 1.2 VTVT,Manual,46115,2nd Owner,Petrol,DL-3C,371000,2014,Hyundai,Grand
LXI,Manual,16722,1st Owner,Petrol,DL-8C,370000,2020,Maruti,Alto
SPORTZ EXECUTIVE CNG,Manual,78260,1st Owner,CNG,HR-36,582000,2021,Hyundai,NEW
LXI CNG 1.0 L,Manual,36344,1st Owner,CNG,HR-29,617000,2021,Maruti,New
SPORTZ CNG,Manual,39950,1st Owner,CNG,DL-12,560000,2019,HYUNDAI,NEW
1.0 Lxi (o) cng,Manual,95900,1st Owner,CNG,HR-26,511000,2020,Maruti,New
LX PETROL HT 4WD AT,Automatic,18575,1st Owner,Petrol,HR-26,1524000,2021,Mahindra,Thar
LXI CNG 1.0 L,Manual,45694,1st Owner,CNG,HR-35,568000,2020,Maruti,New
1.0 RXT Opt,Manual,49798,1st Owner,Petrol,HR-26,409000,2019,Renault,Kwid
XZ 1.2,Manual,18728,1st Owner,Petrol,DL-2C,758000,2020,Tata,ALTROZ
LXI CNG 1.0 L,Manual,31364,1st Owner,CNG,HR-29,557000,2021,Maruti,New
W11(O),Manual,49280,1st Owner,Diesel,HR-26,1654750,2020,MAHINDRA,XUV500
LXI CNG 1.0 L,Manual,53085,1st Owner,CNG,HR-29,552000,2019,Maruti,New
SPORTZ 1.2 KAPPA2,Manual,61649,2nd Owner,Petrol,HR-26,296000,2013,Hyundai,i10
MAGNA 1.2 VTVT,Manual,48006,1st Owner,Petrol,DL-8C,397000,2014,Hyundai,Grand
1.5L I-VTE V CVT,Automatic,31071,1st Owner,Petrol,HR-51,1027000,2018,Honda,City
V MT PETROL,Manual,35203,1st Owner,Petrol,HR-26,886000,2021,Toyota,Glanza
RXL,Manual,26980,1st Owner,Petrol,DL-12,368000,2019,Renault,Kwid
ALPHA 1.5,Manual,29648,2nd Owner,Petrol,UP-16,1094000,2020,Maruti,S
ALPHA PETROL 1.2,Manual,19503,2nd Owner,Petrol,HR-26,850000,2021,Maruti,Baleno
XZ 1.2,Manual,23053,1st Owner,Petrol,HR-26,724000,2020,TATA,ALTROZ
LXI,Manual,21304,2nd Owner,Petrol,UP-37,304000,2018,Maruti,ALTO
G MT,Manual,37270,1st Owner,Petrol,UP-32,1170000,2020,TOYOTA,YARIS
VXI PLUS,Manual,119,1st Owner,Petrol,HR-26,472000,2021,Maruti,S
LXI CNG,Manual,45138,1st Owner,CNG,DL-9C,415000,2021,Maruti,Alto
XZ 1.5 RTQ,Manual,33411,1st Owner,Diesel,UP-14,883000,2021,Tata,ALTROZ
1.6 S,Manual,62663,2nd Owner,Petrol,DL-9C,817000,2016,Hyundai,Creta
LXI,Manual,24796,1st Owner,Petrol,HR-29,336000,2018,Maruti,Alto
LXI CNG 1.0 L,Manual,51129,1st Owner,CNG,HR-51,533000,2020,Maruti,New
V MT PETROL,Manual,25148,1st Owner,Petrol,HR-12,987000,2020,Honda,City
VXI CNG OPT,Manual,50029,2nd Owner,CNG,HR-26,525000,2020,Maruti,Celerio
VXI,Manual,13180,1st Owner,Petrol,HR-29,410000,2022,Maruti,ALTO
SPORTZ CNG,Manual,38298,1st Owner,CNG,DL-5C,558000,2019,Hyundai,NEW
G ISG,Manual,26014,1st Owner,Petrol,DL-1C,858000,2020,Toyota,Glanza
SPORTZ EXECUTIVE MT CNG,Manual,2077,1st Owner,CNG,DL-9C,631000,2022,Hyundai,NEW
ZXI PLUS,Manual,39682,1st Owner,Petrol,UP-14,739000,2019,Maruti,Swift
MAGNA,Manual,25411,1st Owner,Petrol,HR-26,462000,2019,Hyundai,NEW
1.2L I-VTEC V AT,Automatic,25244,1st Owner,Petrol,HR-51,646000,2017,Honda,Jazz
VXI AMT,Automatic,46562,1st Owner,Petrol,HR-51,438000,2015,Maruti,Celerio
VXI,Manual,21969,1st Owner,Petrol,DL-6C,413000,2021,Maruti,Alto
XZ 1.2,Manual,23268,1st Owner,Petrol,DL-12,766000,2020,Tata,ALTROZ
LXI,Manual,54148,2nd Owner,Petrol,DL-9C,517000,2018,Maruti,Swift
GTX + 1.0 IMT,Manual,12461,1st Owner,Petrol,DL-10,1319000,2020,KIA,SONET
SX (O) 1.5 CRDI,Manual,57123,1st Owner,Diesel,HR-51,1001000,2019,Hyundai,VENUE
LXI,Manual,18750,1st Owner,Petrol,DL-3C,314000,2018,Maruti,Alto
ALPHA PETROL 1.2,Manual,13748,1st Owner,Petrol,UP-62,880000,2021,Maruti,Baleno
VXI CNG OPT,Manual,71910,1st Owner,CNG,HR-13,506000,2019,Maruti,Celerio
LX D 4*4 MT HT,Manual,17312,1st Owner,Diesel,HR-51,1599000,2021,Mahindra,Thar
1.6 S,Manual,27923,1st Owner,Petrol,UP-32,791000,2015,Hyundai,Creta
LX PETROL HT 4WD AT,Automatic,11551,1st Owner,Petrol,HR-70,1528000,2021,Mahindra,Thar
RXZ CVT 1.0 TURBO,Automatic,2461,1st Owner,Petrol,UP-16,990000,2021,Renault,Kiger
LXI CNG,Manual,30310,1st Owner,CNG,HR-26,438000,2021,Maruti,ALTO
LXI CNG 1.0 L,Manual,31387,2nd Owner,CNG,HR-87,567000,2020,Maruti,New
GTX PLUS DCT 1.0,Manual,12835,1st Owner,Petrol,HR-26,1271000,2020,KIA,SONET
ZXI,Manual,79489,1st Owner,Petrol,HR-26,293000,2011,Maruti,Swift
